,month_start,year_start,fire_duration,incident_acres_burned,season_fall,season_spring,season_summer,season_winter
0,4,2024,3,3166,0,0,1,0
1,9,2023,1,305,1,0,0,0
2,7,2021,4,1383,0,0,1,0
3,5,2022,0,354,0,0,1,0
4,9,2023,0,45,0,0,1,0
5,10,2021,0,163,0,0,0,1
6,12,2024,0,35,0,0,1,0
7,9,2022,0,50,0,0,1,0
8,11,2021,0,274,0,0,1,0
9,2,2024,0,150,0,0,1,0
10,9,2024,1,110,0,0,1,0
11,8,2023,0,492,0,0,1,0
12,11,2022,0,105,0,0,1,0
13,8,2024,0,60,0,0,1,0
14,9,2023,1,150,0,0,1,0
15,12,2024,0,195,0,0,1,0
16,5,2022,31,2060,0,0,1,0
17,5,2021,5,3505,0,0,0,1
18,3,2022,0,163,0,0,1,0
19,5,2023,3,263,1,0,0,0
20,8,2024,6,2462,0,0,1,0
21,7,2022,4,60,0,0,1,0
22,5,2022,0,90,0,0,1,0
23,2,2021,1,91,0,0,1,0
24,9,2021,64,22992,0,0,1,0
25,4,2022,20,27440,0,0,1,0
26,6,2021,4,196,0,0,1,0
27,10,2022,2,70,0,0,1,0
28,9,2024,0,82,0,0,0,1
29,9,2023,0,298,0,0,1,0
30,9,2023,2,502,0,0,1,0
31,4,2022,1,100,0,0,1,0
32,10,2024,2,46,0,0,1,0
33,10,2022,9,1070,0,0,1,0
34,1,2024,0,0,0,0,1,0
35,12,2024,0,27,0,0,1,0
36,5,2024,2,12503,0,0,1,0
37,9,2021,20,257314,0,0,1,0
38,6,2022,6,97,0,0,1,0
39,2,2022,1,170,0,0,1,0
40,8,2021,1,96,0,0,1,0
41,3,2024,1,712,0,0,1,0
42,6,2024,2,30,0,1,0,0
43,3,2023,4,217,0,0,1,0
44,12,2024,1,150,0,0,1,0
45,1,2024,1,149,0,0,1,0
46,12,2021,0,33,0,0,0,1
47,11,2023,3,534,0,0,1,0
48,8,2023,2,46,0,0,1,0
49,2,2022,1,124,0,0,1,0
50,9,2023,8,6965,0,0,1,0
51,8,2023,3,2781,0,0,1,0
52,3,2021,9,30274,0,0,1,0
53,2,2022,4,28,0,0,1,0
