,month_start,year_start,date_start,fire_duration,incident_acres_burned,season_fall,season_spring,season_summer,season_winter
3,1,2019,2019-01-01,14,30,0,0,0,1
6,2,2018,2018-02-18,319,2070,0,0,0,1
7,2,2020,2020-02-17,3,102,0,0,0,1
8,2,2020,2020-02-23,1,75,0,0,0,1
9,2,2020,2020-02-23,0,57,0,0,0,1
10,2,2020,2020-02-25,7,211,0,0,0,1
12,2,2017,2017-02-07,336,0,0,0,0,1
13,2,2018,2018-02-07,330,50,0,0,0,1
14,3,2020,2020-03-02,3,154,0,1,0,0
15,3,2018,2018-03-27,282,258,0,1,0,0
19,3,2018,2018-03-27,282,11,0,1,0,0
20,4,2018,2018-04-12,266,30,0,1,0,0
21,4,2018,2018-04-28,251,73,0,1,0,0
22,4,2017,2017-04-03,281,45,0,1,0,0
23,4,2017,2017-04-03,281,380,0,1,0,0
25,4,2017,2017-04-13,271,15,0,1,0,0
27,4,2017,2017-04-20,264,5738,0,1,0,0
28,4,2018,2018-04-15,263,15,0,1,0,0
31,4,2019,2019-04-28,57,161,0,1,0,0
32,4,2019,2019-04-30,8,10,0,1,0,0
33,4,2019,2019-04-30,8,115,0,1,0,0
34,4,2018,2018-04-26,253,20,0,1,0,0
35,4,2018,2018-04-22,256,18,0,1,0,0
37,4,2017,2017-04-24,260,10,0,1,0,0
38,4,2018,2018-04-09,269,21,0,1,0,0
39,4,2017,2017-04-29,255,126,0,1,0,0
40,4,2017,2017-04-28,256,976,0,1,0,0
44,4,2020,2020-04-04,8,275,0,1,0,0
45,4,2018,2018-04-19,259,1265,0,1,0,0
46,4,2020,2020-04-23,1,26,0,1,0,0
47,4,2020,2020-04-27,0,47,0,1,0,0
50,4,2018,2018-04-24,254,0,0,1,0,0
51,4,2017,2017-04-30,254,12,0,1,0,0
52,4,2017,2017-04-30,254,1350,0,1,0,0
53,4,2017,2017-04-30,254,150,0,1,0,0
59,5,2018,2018-05-17,232,1261,0,0,1,0
60,5,2018,2018-05-14,235,12,0,0,1,0
62,5,2018,2018-05-18,231,103,0,0,1,0
63,5,2018,2018-05-09,240,18,0,0,1,0
64,5,2018,2018-05-04,245,15,0,0,1,0
66,5,2018,2018-05-18,231,26,0,0,1,0
67,5,2018,2018-05-19,230,27,0,0,1,0
68,5,2018,2018-05-20,229,88,0,0,1,0
70,5,2018,2018-05-21,228,12,0,0,1,0
71,5,2018,2018-05-22,227,59,0,0,1,0
72,5,2018,2018-05-23,226,56,0,0,1,0
73,5,2018,2018-05-24,225,100,0,0,1,0
74,5,2018,2018-05-26,223,108,0,0,1,0
75,5,2018,2018-05-27,222,16,0,0,1,0
76,5,2018,2018-05-28,221,10,0,0,1,0
77,5,2018,2018-05-04,245,70,0,0,1,0
78,5,2018,2018-05-04,245,300,0,0,1,0
79,5,2018,2018-05-29,220,25,0,0,1,0
80,5,2018,2018-05-02,247,1756,0,0,1,0
81,5,2017,2017-05-23,231,10,0,0,1,0
